"poliza","sexo","circulacion","garantia","siniestros","ant_comp","ant_perm","edad","ant_veh"
1934491140,"Hombre","No urbano","Garantía daños propios contratada",0,0,12,30,2
8631434438,"Hombre","Urbano","No contratada",0,13,22,40,1
8631434579,"Hombre","Urbano","Garantía daños propios contratada",0,13,12,30,2
8736029071,"Hombre","No urbano","Garantía daños propios contratada",3,12,17,60,0
9033931052,"Hombre","Urbano","Garantía daños propios contratada",0,9,24,42,0
9133229616,"Hombre","No urbano","Garantía daños propios contratada",0,8,23,41,2
9434580452,"Hombre","Urbano","Garantía daños propios contratada",0,5,9,50,2
9730981309,"Hombre","No urbano","Garantía daños propios contratada",0,2,21,39,2
9741379249,"Hombre","No urbano","Garantía daños propios contratada",0,2,11,29,2
995629127,"Mujer","Urbano","No contratada",1,0,23,50,0
3889629099,"Hombre","Urbano","No contratada",1,0,17,60,6
8331130740,"Hombre","No urbano","No contratada",0,16,31,49,9
8732732405,"Hombre","No urbano","No contratada",0,12,0,18,2
9131982158,"Hombre","Urbano","No contratada",0,8,25,59,12
9132431980,"Hombre","No urbano","Garantía daños propios contratada",0,8,24,50,8
9134483872,"Hombre","No urbano","No contratada",0,8,21,39,13
9431931528,"Hombre","Urbano","No contratada",0,5,22,40,1
9529982750,"Hombre","Urbano","Garantía daños propios contratada",0,4,38,60,4
9532488377,"Hombre","Urbano","Garantía daños propios contratada",0,4,19,37,9
9730389126,"Hombre","Urbano","Garantía daños propios contratada",0,2,22,40,2
9741483169,"Hombre","Urbano","No contratada",0,2,34,59,11
9748779271,"Hombre","No urbano","No contratada",0,2,16,60,4
9835082645,"Mujer","No urbano","No contratada",0,1,19,40,5
8432119489,"Mujer","Urbano","No contratada",0,15,45,63,11
8634231900,"Mujer","No urbano","No contratada",0,13,20,38,17
8733330854,"Hombre","No urbano","No contratada",0,12,22,40,4
8837630302,"Hombre","Urbano","Garantía daños propios contratada",0,11,33,51,11
9231933933,"Mujer","No urbano","No contratada",0,7,10,40,7
9431984305,"Hombre","Urbano","No contratada",0,5,40,58,21
9841883859,"Hombre","No urbano","No contratada",0,1,23,41,12
1930394996,"Hombre","No urbano","No contratada",0,0,26,60,10
8930032951,"Hombre","No urbano","No contratada",0,10,28,46,11
9341129726,"Mujer","No urbano","No contratada",0,6,12,30,11
1931281567,"Hombre","No urbano","No contratada",0,0,0,18,12
1932697854,"Mujer","No urbano","No contratada",0,0,13,60,9
1933281474,"Hombre","No urbano","No contratada",0,0,40,60,1
9130831782,"Hombre","No urbano","No contratada",0,8,31,49,1
9735883621,"Mujer","Urbano","No contratada",0,2,11,60,11
9830490838,"Hombre","No urbano","No contratada",0,1,12,30,12
9037229893,"Hombre","Urbano","No contratada",0,9,23,41,17
9431980236,"Hombre","Urbano","No contratada",0,5,24,42,1
9432483035,"Mujer","No urbano","No contratada",0,5,24,42,9
9432629476,"Hombre","No urbano","Garantía daños propios contratada",0,5,22,40,1
9734384678,"Hombre","No urbano","No contratada",0,2,35,53,14
1930499827,"Hombre","No urbano","Garantía daños propios contratada",0,0,22,40,0
1930512791,"Hombre","No urbano","No contratada",0,0,13,40,0
8534286109,"Hombre","No urbano","Garantía daños propios contratada",0,14,6,60,0
8539679434,"Hombre","No urbano","No contratada",1,14,33,51,14
9830389637,"Hombre","No urbano","No contratada",0,1,21,39,1
9836880474,"Mujer","Urbano","Garantía daños propios contratada",0,1,28,60,2
1929999024,"Hombre","No urbano","No contratada",1,0,33,51,1
1932682751,"Hombre","No urbano","Garantía daños propios contratada",0,0,34,52,0
1935083982,"Hombre","Urbano","Garantía daños propios contratada",0,0,21,39,0
8635931030,"Hombre","Urbano","No contratada",0,13,12,30,12
8839929538,"Hombre","Urbano","No contratada",0,11,27,59,11
8841929618,"Hombre","No urbano","No contratada",0,11,22,40,9
8936329831,"Hombre","No urbano","No contratada",0,10,12,30,0
9034229756,"Hombre","Urbano","No contratada",0,9,42,60,19
9230129894,"Hombre","No urbano","No contratada",1,7,30,48,2
9332481761,"Hombre","No urbano","No contratada",0,6,35,53,8
9338439256,"Hombre","No urbano","No contratada",0,6,42,60,11
9634180610,"Hombre","No urbano","Garantía daños propios contratada",0,3,15,40,3
9733679156,"Hombre","No urbano","No contratada",0,2,46,64,2
9830180773,"Hombre","No urbano","Garantía daños propios contratada",0,1,32,50,1
9833805413,"Hombre","Urbano","No contratada",0,1,34,52,1
8332429987,"Hombre","Urbano","No contratada",0,16,24,50,16
9730086254,"Hombre","Urbano","No contratada",0,2,22,40,14
30429155,"Hombre","No urbano","No contratada",0,20,22,40,8
1930497817,"Mujer","No urbano","No contratada",0,0,36,54,7
1948780421,"Hombre","No urbano","No contratada",0,0,3,30,9
8431530996,"Hombre","Urbano","No contratada",0,15,29,47,8
8535929552,"Hombre","No urbano","No contratada",0,14,26,44,8
8732330277,"Mujer","Urbano","No contratada",0,12,21,39,7
8930530200,"Hombre","No urbano","No contratada",0,10,32,50,8
9135083237,"Hombre","Urbano","No contratada",0,8,14,40,1
9230502090,"Hombre","No urbano","No contratada",0,7,22,40,8
9231799461,"Mujer","No urbano","No contratada",0,7,17,40,9
9329831600,"Hombre","Urbano","No contratada",0,6,14,40,9
9532981637,"Hombre","Urbano","No contratada",0,4,19,37,8
9731379809,"Hombre","Urbano","No contratada",0,2,33,51,2
9738380656,"Hombre","No urbano","No contratada",0,2,14,40,6
9838482415,"Hombre","No urbano","No contratada",0,1,36,60,7
9140839383,"Hombre","Urbano","No contratada",0,8,32,50,8
9235830384,"Mujer","No urbano","No contratada",0,7,30,48,7
9432229799,"Hombre","No urbano","No contratada",0,5,34,52,13
1934317067,"Hombre","Urbano","No contratada",0,0,22,40,0
1935787083,"Hombre","No urbano","No contratada",0,0,24,42,6
1937080411,"Hombre","No urbano","No contratada",0,0,24,42,2
3589629125,"Mujer","No urbano","Garantía daños propios contratada",0,0,16,49,0
8333329567,"Hombre","Urbano","No contratada",0,16,27,60,6
8433279227,"Hombre","No urbano","Garantía daños propios contratada",0,15,21,39,1
8438519459,"Hombre","Urbano","No contratada",0,15,23,41,11
8529881814,"Hombre","No urbano","No contratada",0,14,24,60,5
8534180762,"Hombre","No urbano","Garantía daños propios contratada",0,14,12,30,7
8534279972,"Hombre","Urbano","Garantía daños propios contratada",0,14,28,60,4
8541279923,"Hombre","No urbano","Garantía daños propios contratada",0,14,22,40,2
8630341222,"Hombre","Urbano","No contratada",0,13,17,50,1
8639929649,"Hombre","Urbano","No contratada",0,13,33,51,29
8932931436,"Hombre","No urbano","Garantía daños propios contratada",0,10,31,49,2
8936829398,"Hombre","Urbano","Garantía daños propios contratada",0,10,13,40,2
8941429828,"Hombre","No urbano","No contratada",0,10,39,57,6
9131933854,"Hombre","No urbano","Garantía daños propios contratada",0,8,32,50,8
9232489084,"Hombre","No urbano","No contratada",0,7,22,40,3
9233699324,"Hombre","No urbano","Garantía daños propios contratada",0,7,22,40,10
9238230220,"Hombre","No urbano","No contratada",0,7,32,50,2
9333529462,"Hombre","No urbano","Garantía daños propios contratada",0,6,32,50,6
9531983718,"Hombre","No urbano","Garantía daños propios contratada",0,4,22,40,6
9534685071,"Hombre","No urbano","No contratada",2,4,31,60,4
9732494190,"Hombre","No urbano","Garantía daños propios contratada",0,2,22,40,11
9830000499,"Hombre","Urbano","No contratada",0,1,34,52,1
9833792714,"Hombre","No urbano","No contratada",0,1,2,20,1
9834183079,"Hombre","No urbano","No contratada",0,1,22,40,1
9848680581,"Mujer","No urbano","Garantía daños propios contratada",0,1,8,29,1
9634296943,"Hombre","No urbano","No contratada",0,3,22,40,10
9733782569,"Hombre","No urbano","No contratada",0,2,36,59,14
1119629076,"Hombre","Urbano","No contratada",0,0,34,52,4
9734284109,"Hombre","No urbano","No contratada",0,2,32,60,10
9741981262,"Hombre","No urbano","No contratada",0,2,12,30,12
9832489355,"Hombre","No urbano","No contratada",0,1,12,30,11
1930001083,"Hombre","Urbano","No contratada",0,0,18,60,1
9345179237,"Hombre","Urbano","Garantía daños propios contratada",0,6,19,40,1
9634279099,"Hombre","No urbano","No contratada",0,3,2,20,10
9729880595,"Hombre","No urbano","Garantía daños propios contratada",0,2,21,39,2
9734081842,"Mujer","Urbano","Garantía daños propios contratada",0,2,27,50,2
9829981866,"Mujer","No urbano","No contratada",0,1,28,46,7
9833281218,"Hombre","No urbano","Garantía daños propios contratada",0,1,12,30,1
9834289850,"Hombre","No urbano","Garantía daños propios contratada",0,1,31,50,4
9834682041,"Mujer","No urbano","Garantía daños propios contratada",0,1,12,30,1
9835279637,"Hombre","Urbano","Garantía daños propios contratada",0,1,32,50,1
232447563,"Mujer","Urbano","Garantía daños propios contratada",1,17,16,49,4
1940586156,"Hombre","Urbano","No contratada",0,0,35,59,2
8535329810,"Hombre","Urbano","No contratada",0,14,22,40,6
9230599207,"Hombre","No urbano","Garantía daños propios contratada",0,7,12,30,0
9732981246,"Hombre","No urbano","No contratada",0,2,23,41,2
9834179533,"Hombre","Urbano","Garantía daños propios contratada",0,1,29,47,1
1929989296,"Hombre","Urbano","No contratada",0,0,29,50,11
1932497923,"Hombre","No urbano","No contratada",0,0,30,48,0
1932981455,"Hombre","No urbano","No contratada",0,0,43,61,18
1934310931,"Hombre","No urbano","No contratada",0,0,13,31,9
8433929697,"Hombre","No urbano","No contratada",0,15,26,50,11
8533789897,"Hombre","Urbano","No contratada",0,14,22,40,11
8640630738,"Hombre","No urbano","Garantía daños propios contratada",0,13,14,40,0
9049030021,"Hombre","No urbano","No contratada",0,9,15,60,9
9132030757,"Hombre","Urbano","No contratada",0,8,16,60,11
9132584263,"Mujer","No urbano","No contratada",0,8,8,30,1
9132588995,"Hombre","No urbano","No contratada",1,8,27,50,8
9230429909,"Hombre","No urbano","No contratada",0,7,38,60,10
9235129600,"Hombre","No urbano","Garantía daños propios contratada",0,7,14,59,7
9431185166,"Hombre","No urbano","Garantía daños propios contratada",0,5,24,59,9
9448729115,"Hombre","No urbano","No contratada",0,5,11,29,9
9731784991,"Hombre","Urbano","No contratada",0,2,31,49,10
9732780365,"Hombre","No urbano","Garantía daños propios contratada",0,2,31,50,9
9742081695,"Mujer","No urbano","No contratada",0,2,9,60,11
9830497876,"Hombre","No urbano","No contratada",0,1,25,43,9
9832598574,"Hombre","No urbano","No contratada",0,1,24,42,10
9833281074,"Hombre","No urbano","Garantía daños propios contratada",1,1,22,40,1
9834784053,"Hombre","No urbano","No contratada",0,1,20,38,9
9837379532,"Hombre","No urbano","Garantía daños propios contratada",0,1,24,49,5
1930182157,"Hombre","Urbano","No contratada",0,0,2,20,11
1933981725,"Hombre","No urbano","No contratada",0,0,11,39,11
8430483682,"Hombre","Urbano","No contratada",0,15,18,36,9
9832489973,"Hombre","No urbano","No contratada",0,1,15,59,13
9834479460,"Mujer","No urbano","Garantía daños propios contratada",0,1,12,30,1
1930513996,"Hombre","Urbano","Garantía daños propios contratada",0,0,12,30,0
9131442238,"Hombre","No urbano","No contratada",0,8,2,20,0
9145130094,"Hombre","No urbano","No contratada",0,8,25,43,8
9330879223,"Hombre","Urbano","No contratada",0,6,32,50,11
9432081805,"Hombre","Urbano","No contratada",0,5,0,18,1
9732485338,"Mujer","No urbano","No contratada",0,2,12,30,3
9732496879,"Hombre","Urbano","No contratada",0,2,0,18,6
9734184871,"Hombre","No urbano","No contratada",0,2,23,41,7
9832489410,"Hombre","No urbano","Garantía daños propios contratada",0,1,31,49,1
30630673,"Mujer","No urbano","No contratada",0,19,12,30,1
132029489,"Mujer","Urbano","Garantía daños propios contratada",0,18,23,41,0
237729498,"Mujer","No urbano","Garantía daños propios contratada",0,17,11,29,4
634152468,"Hombre","No urbano","Garantía daños propios contratada",0,23,33,51,5
831530787,"Hombre","Urbano","Garantía daños propios contratada",0,21,26,59,1
838339834,"Hombre","No urbano","No contratada",0,21,41,59,0
941629118,"Mujer","Urbano","Garantía daños propios contratada",0,0,15,49,0
1929994417,"Hombre","No urbano","No contratada",0,0,23,41,0
1930491319,"Mujer","No urbano","No contratada",0,0,22,40,6
1930582166,"Hombre","No urbano","Garantía daños propios contratada",0,0,27,59,2
1930981099,"Hombre","No urbano","No contratada",1,0,22,40,0
1932496646,"Mujer","No urbano","No contratada",0,0,2,20,6
1932503716,"Hombre","No urbano","No contratada",0,0,23,49,10
1933793063,"Hombre","No urbano","No contratada",1,0,21,39,4
1933802627,"Hombre","No urbano","No contratada",0,0,18,60,0
1934387424,"Hombre","Urbano","Garantía daños propios contratada",0,0,23,41,0
1934387873,"Hombre","No urbano","No contratada",2,0,13,59,11
1934781652,"Mujer","No urbano","No contratada",0,0,14,39,9
1937781983,"Hombre","No urbano","No contratada",0,0,23,50,4
1941081413,"Hombre","Urbano","Garantía daños propios contratada",0,0,32,50,2
1941887048,"Hombre","No urbano","Garantía daños propios contratada",0,0,24,42,0
3454629125,"Hombre","No urbano","No contratada",0,0,22,40,1
5367629148,"Hombre","Urbano","Garantía daños propios contratada",0,0,22,40,0
8330129129,"Hombre","No urbano","Garantía daños propios contratada",0,16,20,38,3
8332230309,"Hombre","Urbano","No contratada",0,16,38,56,9
8333329849,"Hombre","Urbano","Garantía daños propios contratada",0,16,32,50,1
8333929252,"Hombre","Urbano","Garantía daños propios contratada",0,16,29,47,3
8338229433,"Hombre","No urbano","No contratada",0,16,39,57,8
8431230664,"Hombre","Urbano","No contratada",0,15,28,46,8
8431830294,"Mujer","No urbano","Garantía daños propios contratada",0,15,22,40,0
8432631884,"Hombre","No urbano","No contratada",0,15,22,40,0
8531581027,"Hombre","No urbano","No contratada",0,14,22,40,12
8532279812,"Hombre","No urbano","No contratada",0,14,23,41,6
8532983002,"Hombre","Urbano","Garantía daños propios contratada",0,14,23,49,1
8538330341,"Hombre","Urbano","Garantía daños propios contratada",0,14,0,18,0
8541080154,"Hombre","No urbano","Garantía daños propios contratada",0,14,30,48,7
8630130092,"Hombre","Urbano","No contratada",0,13,22,40,9
8631732726,"Hombre","No urbano","Garantía daños propios contratada",0,13,31,49,0
8632731920,"Hombre","No urbano","No contratada",0,13,32,50,13
8633829551,"Mujer","Urbano","Garantía daños propios contratada",0,13,0,18,13
8641829210,"Hombre","No urbano","Garantía daños propios contratada",0,13,12,30,8
8644130660,"Hombre","No urbano","No contratada",1,13,30,48,6
8733329505,"Hombre","Urbano","No contratada",0,12,31,49,12
8734334116,"Hombre","No urbano","No contratada",0,12,21,50,5
8832331130,"Hombre","No urbano","Garantía daños propios contratada",0,11,22,40,0
8835829365,"Hombre","No urbano","Garantía daños propios contratada",0,11,26,49,6
8932536072,"Hombre","No urbano","Garantía daños propios contratada",0,10,34,52,7
8933729098,"Hombre","Urbano","No contratada",0,10,17,60,2
8936229959,"Hombre","No urbano","No contratada",1,10,22,40,1
9032534137,"Hombre","No urbano","No contratada",1,9,14,49,9
9034249794,"Hombre","No urbano","No contratada",0,9,9,59,0
9034281761,"Hombre","No urbano","Garantía daños propios contratada",0,9,15,40,1
9034632743,"Hombre","No urbano","No contratada",0,9,33,51,17
9035829370,"Hombre","No urbano","Garantía daños propios contratada",1,9,23,60,2
9039939619,"Hombre","No urbano","No contratada",0,9,24,42,16
9040839940,"Hombre","No urbano","No contratada",0,9,22,40,9
9044637152,"Hombre","Urbano","Garantía daños propios contratada",0,9,22,40,1
9130332697,"Hombre","Urbano","Garantía daños propios contratada",0,8,11,50,2
9133579218,"Hombre","Urbano","No contratada",0,8,17,60,8
9133629197,"Hombre","Urbano","Garantía daños propios contratada",0,8,23,41,8
9134230324,"Hombre","No urbano","No contratada",1,8,12,30,8
9134630945,"Hombre","No urbano","No contratada",0,8,13,40,1
9136329350,"Hombre","No urbano","Garantía daños propios contratada",1,8,12,30,1
9138229665,"Mujer","Urbano","Garantía daños propios contratada",0,8,22,50,2
9142031046,"Hombre","No urbano","No contratada",0,8,38,56,15
9230503314,"Hombre","No urbano","No contratada",0,7,29,60,9
9233679880,"Mujer","No urbano","No contratada",0,7,1,19,5
9234381983,"Hombre","No urbano","No contratada",0,7,21,39,4
9241132902,"Hombre","No urbano","Garantía daños propios contratada",0,7,21,39,1
9241200250,"Hombre","No urbano","No contratada",0,7,12,30,7
9331229329,"Hombre","No urbano","Garantía daños propios contratada",0,6,10,28,5
9331681614,"Hombre","Urbano","No contratada",0,6,31,50,8
9332731222,"Hombre","No urbano","No contratada",0,6,12,30,17
9333739211,"Hombre","Urbano","Garantía daños propios contratada",0,6,22,40,1
9333780513,"Mujer","Urbano","No contratada",0,6,14,50,5
9334181248,"Hombre","No urbano","No contratada",0,6,26,49,1
9334183874,"Hombre","Urbano","Garantía daños propios contratada",0,6,17,60,1
9334184110,"Hombre","No urbano","Garantía daños propios contratada",0,6,22,40,7
9334685808,"Mujer","Urbano","Garantía daños propios contratada",0,6,21,40,10
9336529808,"Mujer","No urbano","Garantía daños propios contratada",0,6,26,60,6
9337379848,"Mujer","No urbano","No contratada",0,6,18,60,7
9430279635,"Mujer","No urbano","Garantía daños propios contratada",0,5,12,30,1
9430581300,"Hombre","No urbano","No contratada",0,5,21,60,0
9434285480,"Hombre","Urbano","No contratada",0,5,8,60,8
9436979185,"Hombre","No urbano","Garantía daños propios contratada",0,5,12,59,5
9441180127,"Hombre","No urbano","No contratada",0,5,13,40,6
9529984289,"Mujer","Urbano","Garantía daños propios contratada",0,4,23,41,5
9530083337,"Hombre","Urbano","No contratada",0,4,22,40,3
9532486153,"Hombre","No urbano","Garantía daños propios contratada",0,4,25,43,4
9532781854,"Hombre","No urbano","No contratada",0,4,25,43,7
9532785041,"Mujer","Urbano","Garantía daños propios contratada",0,4,10,28,1
9532880899,"Mujer","No urbano","Garantía daños propios contratada",0,4,22,40,0
9534679256,"Mujer","No urbano","Garantía daños propios contratada",0,4,23,41,3
9541181297,"Hombre","No urbano","No contratada",0,4,2,20,11
9541481697,"Hombre","Urbano","No contratada",0,4,2,20,8
9630483506,"Hombre","No urbano","Garantía daños propios contratada",1,3,12,30,3
9632979453,"Hombre","No urbano","No contratada",0,3,42,60,12
9634293034,"Hombre","No urbano","No contratada",0,3,38,56,6
9637380121,"Hombre","No urbano","No contratada",0,3,21,50,6
9729989723,"Mujer","No urbano","Garantía daños propios contratada",0,2,13,59,2
9730580479,"Hombre","Urbano","No contratada",0,2,21,39,11
9731180621,"Hombre","No urbano","Garantía daños propios contratada",0,2,32,50,3
9732681481,"Mujer","No urbano","No contratada",0,2,10,28,2
9733580697,"Hombre","Urbano","No contratada",0,2,18,59,8
9734080243,"Hombre","No urbano","No contratada",0,2,27,50,12
9734302796,"Mujer","No urbano","No contratada",0,2,10,40,4
9734383665,"Hombre","No urbano","No contratada",1,2,22,40,8
9734491681,"Hombre","Urbano","No contratada",0,2,23,50,9
9737780430,"Hombre","Urbano","Garantía daños propios contratada",0,2,42,60,2
9749179540,"Hombre","No urbano","No contratada",0,2,23,41,7
9830287567,"Hombre","Urbano","No contratada",0,1,28,60,5
9830786853,"Hombre","No urbano","No contratada",0,1,33,51,8
9831179192,"Hombre","No urbano","Garantía daños propios contratada",0,1,13,40,1
9831581859,"Hombre","No urbano","No contratada",0,1,16,50,1
9831679946,"Hombre","Urbano","Garantía daños propios contratada",0,1,12,30,1
9831784951,"Hombre","No urbano","No contratada",0,1,0,18,1
9831981565,"Hombre","Urbano","No contratada",0,1,24,50,7
9832081233,"Hombre","No urbano","No contratada",0,1,28,46,0
9832494415,"Mujer","No urbano","Garantía daños propios contratada",0,1,20,38,9
9833079799,"Hombre","No urbano","Garantía daños propios contratada",0,1,21,39,2
9833581501,"Hombre","Urbano","No contratada",0,1,13,40,9
9833779911,"Hombre","No urbano","No contratada",0,1,22,40,1
9834686566,"Hombre","No urbano","No contratada",0,1,30,50,7
9840383501,"Hombre","Urbano","No contratada",0,1,37,55,4
9841181441,"Hombre","No urbano","Garantía daños propios contratada",0,1,24,50,3
9841280466,"Hombre","No urbano","No contratada",0,1,21,39,10
9849179905,"Mujer","Urbano","No contratada",0,1,34,52,5
8731530894,"Hombre","No urbano","No contratada",0,12,24,42,12
9230499211,"Hombre","No urbano","No contratada",0,7,27,45,1
9840482198,"Mujer","No urbano","No contratada",0,1,24,50,10
1930391054,"Mujer","No urbano","No contratada",0,0,11,29,10
1932491601,"Mujer","No urbano","Garantía daños propios contratada",0,0,21,39,2
1941888130,"Hombre","No urbano","No contratada",0,0,2,20,3
1942083459,"Mujer","No urbano","Garantía daños propios contratada",0,0,15,50,0
8538530963,"Hombre","No urbano","No contratada",0,14,28,60,1
8630829806,"Hombre","Urbano","Garantía daños propios contratada",0,13,16,40,3
8834735228,"Hombre","Urbano","No contratada",0,11,26,44,10
9330181146,"Hombre","No urbano","No contratada",0,6,37,55,14
9833782710,"Mujer","No urbano","No contratada",0,1,0,18,6
1941382533,"Hombre","Urbano","No contratada",0,0,37,55,10
9241231818,"Hombre","Urbano","Garantía daños propios contratada",0,7,13,40,2
9432486892,"Hombre","No urbano","Garantía daños propios contratada",0,5,25,43,0
9732983319,"Hombre","No urbano","No contratada",0,2,23,41,1
9734293416,"Hombre","No urbano","No contratada",1,2,12,30,2
1049629200,"Hombre","No urbano","No contratada",1,0,12,30,12
8631333109,"Mujer","No urbano","Garantía daños propios contratada",0,13,22,40,1
9337281904,"Hombre","No urbano","No contratada",0,6,28,46,11
135929932,"Hombre","No urbano","Garantía daños propios contratada",0,18,23,41,0
234271090,"Hombre","Urbano","No contratada",0,17,26,44,6
1930786079,"Hombre","No urbano","No contratada",0,0,23,41,3
1932486858,"Mujer","No urbano","No contratada",0,0,10,39,0
1932495300,"Hombre","No urbano","No contratada",0,0,33,51,6
1932504427,"Hombre","No urbano","No contratada",0,0,0,18,1
1933987237,"Hombre","Urbano","Garantía daños propios contratada",0,0,29,47,0
1934385991,"Hombre","Urbano","No contratada",0,0,33,51,0
1937879497,"Hombre","Urbano","No contratada",0,0,1,19,7
1941485952,"Hombre","Urbano","No contratada",0,0,0,18,5
1949280682,"Mujer","No urbano","No contratada",0,0,10,50,2
8532081760,"Hombre","No urbano","No contratada",0,14,23,41,6
8736329325,"Hombre","No urbano","Garantía daños propios contratada",0,12,27,45,0
8839129676,"Hombre","No urbano","Garantía daños propios contratada",0,11,22,40,0
9130079956,"Hombre","No urbano","No contratada",0,8,23,41,6
9132982911,"Hombre","No urbano","Garantía daños propios contratada",0,8,21,39,1
9244979178,"Hombre","No urbano","Garantía daños propios contratada",0,7,22,40,1
9334485522,"Hombre","No urbano","No contratada",0,6,13,31,6
9334731073,"Hombre","Urbano","Garantía daños propios contratada",0,6,13,31,1
9337282634,"Hombre","Urbano","No contratada",0,6,40,58,2
9437880021,"Hombre","Urbano","No contratada",0,5,30,48,3
9532979928,"Hombre","No urbano","Garantía daños propios contratada",1,4,32,50,4
9533380521,"Hombre","No urbano","No contratada",0,4,32,50,4
9634293265,"Hombre","No urbano","No contratada",0,3,16,50,6
9634381259,"Hombre","No urbano","No contratada",0,3,27,60,3
9729779719,"Hombre","No urbano","Garantía daños propios contratada",1,2,13,31,6
9729981216,"Mujer","Urbano","No contratada",2,2,14,50,3
9830282315,"Hombre","Urbano","No contratada",0,1,33,60,1
9830483211,"Hombre","No urbano","Garantía daños propios contratada",0,1,37,55,7
9831185274,"Hombre","No urbano","No contratada",0,1,0,18,1
9831786824,"Mujer","No urbano","No contratada",0,1,2,20,1
9832593750,"Mujer","No urbano","No contratada",0,1,2,20,4
9833880364,"Hombre","Urbano","Garantía daños propios contratada",0,1,25,50,2
9834190756,"Hombre","No urbano","Garantía daños propios contratada",0,1,1,19,1
9838381716,"Hombre","No urbano","No contratada",0,1,32,50,6
8536079661,"Hombre","Urbano","No contratada",0,14,32,60,6
8632035556,"Hombre","No urbano","No contratada",1,13,23,41,7
8933930698,"Mujer","Urbano","No contratada",0,10,12,30,6
9038329360,"Hombre","Urbano","No contratada",0,9,22,40,8
9430491660,"Hombre","No urbano","Garantía daños propios contratada",0,5,12,30,5
33732441,"Hombre","Urbano","No contratada",0,19,18,60,7
231632364,"Hombre","No urbano","Garantía daños propios contratada",0,17,21,39,1
432036926,"Hombre","Urbano","No contratada",0,25,22,40,5
1929995966,"Hombre","No urbano","No contratada",1,0,13,31,1
1930282114,"Hombre","No urbano","Garantía daños propios contratada",0,0,2,20,0
1931481733,"Hombre","No urbano","Garantía daños propios contratada",0,0,15,40,0
1932800097,"Hombre","No urbano","Garantía daños propios contratada",0,0,11,29,0
1932985452,"Hombre","Urbano","No contratada",0,0,17,49,1
1933585693,"Hombre","Urbano","Garantía daños propios contratada",0,0,23,41,1
1934497027,"Hombre","Urbano","No contratada",0,0,11,30,6
